[Hypersensitivity],[ALCOHOL] [ACETYLSALICYLICACID100mg],12,92.3077,[ACETYLSALICYLICACID100mg],12,12.1212,[ALCOHOL],12,12
[Posteriorreversibleencephalopathysyndrome],[ETOPOSIDE] [CICLOSPORIN],19,86.3636,[ETOPOSIDE],35,8.39329,[CICLOSPORIN],28,10.3321
[Toxicitytovariousagents],[TEMAZEPAM] [DIAZEPAM],10,83.3333,[DIAZEPAM],67,15.2273,[TEMAZEPAM],15,15.9574
[Toxicitytovariousagents],[OXAZEPAM] [DIAZEPAM],11,91.6667,[OXAZEPAM],16,20.7792,[DIAZEPAM],67,15.2273
[Toxicitytovariousagents] [Cardiacdisorder] [Substanceabuse],[SUBUTEX] [COCAINE],10,83.3333,[SUBUTEX],11,12.9412,[COCAINE],10,16.6667
[Hyponatraemia],[HUMALOG] [ALLOPURINOL],12,63.1579,[ALLOPURINOL],18,2.69461,[HUMALOG],15,2.5641
[Acutekidneyinjury],[OMEPRAZOLE] [OLANZAPINE],11,73.3333,[OMEPRAZOLE],50,2.89687,[OLANZAPINE],12,4.10959
[Drugineffective],[FEXOFENADINE] [CICLOSPORIN],10,100,[CICLOSPORIN],38,14.0221,[FEXOFENADINE],13,25.4902
[Death],[AZTREONAMLYSINE] [HYPERTONICSALINESOLUTION],13,100,[AZTREONAMLYSINE],85,46.9613,[HYPERTONICSALINESOLUTION],13,44.8276
[Pancreaticcarcinoma],[BYETTA] [VICTOZA],17,89.4737,[VICTOZA],40,19.5122,[BYETTA],38,28.7879
[Pneumatosisintestinalis] [Productuseissue],[BUDESONIDE] [BUSULFAN],10,100,[BUDESONIDE],11,8.73016,[BUSULFAN],10,20
[Serotoninsyndrome],[VANCOMYCIN] [DIPHENHYDRAMINE],10,90.9091,[DIPHENHYDRAMINE],14,7.36842,[VANCOMYCIN],33,15.2074
[Confusionalstate],[LORAZEPAM] [PARACETAMOL],11,64.7059,[PARACETAMOL],37,3.8105,[LORAZEPAM],26,5.16899
[Drugabuse],[OXYCODONE] [METHADONE],13,68.4211,[OXYCODONE],73,17.8922,[METHADONE],36,17.4757
[Confusionalstate] [Fall] [Lossofconsciousness],[SINEMET] [NOVORAPID],15,100,[SINEMET],15,15.9574,[NOVORAPID],15,6.04839
[Hyponatraemia],[ALLOPURINOL] [SERTRALINE],10,58.8235,[ALLOPURINOL],18,2.69461,[SERTRALINE],23,3.47958
[Plateletcountdecreased],[LOXONIN] [RIBAVIRIN],15,62.5,[LOXONIN],19,13.1034,[RIBAVIRIN],119,12.3444
[Hepaticfailure],[MIRTAZAPINE] [CARBAMAZEPINE],10,62.5,[MIRTAZAPINE],11,2.84238,[CARBAMAZEPINE],11,4.4898
[Urinaryincontinence] [Sexualdysfunction],[FLUOROURACIL] [AMLODIPINE],10,76.9231,[AMLODIPINE],11,0.797101,[FLUOROURACIL],10,1.8797
[Plateletcountdecreased],[PEGINTRON] [MUCOSTA],16,76.1905,[PEGINTRON],79,28.8321,[MUCOSTA],23,22.7723
[Toxicitytovariousagents],[Paracetamol] [DIAZEPAM],11,61.1111,[Paracetamol],21,16.4062,[DIAZEPAM],67,15.2273
[Psychoticdisorder],[DIAZEPAM] [ABILIFY],10,76.9231,[DIAZEPAM],19,4.31818,[ABILIFY],34,9.65909
[Type2diabetesmellitus],[ATORVASTATINCALCIUM] [LIPITOR],42,85.7143,[LIPITOR],558,41.5488,[ATORVASTATINCALCIUM],43,32.0896
[Plateletcountdecreased],[RIBAVIRIN] [URSO],10,58.8235,[URSO],14,14.2857,[RIBAVIRIN],119,12.3444
[Pneumatosisintestinalis] [Productuseissue],[BUDESONIDE] [MYCOPHENOLATEMOFETIL],10,83.3333,[BUDESONIDE],11,8.73016,[MYCOPHENOLATEMOFETIL],10,3.18471
[Malaise],[LISINOPRIL] [PARACETAMOL],12,46.1538,[LISINOPRIL],32,2.18579,[PARACETAMOL],24,2.47168
[Diseaseprogression],[FLUOROURACIL] [AVASTIN],81,67.5,[FLUOROURACIL],87,16.3534,[AVASTIN],132,22.1106
[Paraesthesia],[PREGABALIN] [SERTRALINE],10,83.3333,[SERTRALINE],13,1.96672,[PREGABALIN],11,5.75916
[Plateletcountdecreased],[RIBAVIRIN] [MUCOSTA],18,75,[RIBAVIRIN],119,12.3444,[MUCOSTA],23,22.7723
[Drugabuse],[TAVOR] [PAROXETINE],11,73.3333,[PAROXETINE],41,16.1417,[TAVOR],24,25.8065
[Osteonecrosisofjaw],[XGEVA] [ZOMETA],37,88.0952,[XGEVA],115,20.4626,[ZOMETA],169,41.1192
[Pneumonia],[JANUVIA] [LISINOPRIL],12,54.5455,[LISINOPRIL],39,2.66393,[JANUVIA],24,4.56274
[Substanceabuse],[ALCOHOL] [OXYCONTIN],13,92.8571,[OXYCONTIN],34,6.36704,[ALCOHOL],21,21
[Acutekidneyinjury],[COCODAMOL] [NAPROXEN],15,60,[COCODAMOL],31,15.3465,[NAPROXEN],34,9.39227
[Confusionalstate] [Dehydration] [Hyperpyrexia] [Hyperhidrosis] [Tremor] [Hypophagia] [Acidosis],[LACTULOSE] [DIAZEPAM],10,71.4286,[LACTULOSE],10,6.21118,[DIAZEPAM],10,2.27273
[Infusionrelatedreaction],[ACETAMINOPHEN] [METHYLPREDNISOLONE],14,41.1765,[METHYLPREDNISOLONE],21,5.21092,[ACETAMINOPHEN],20,5.42005
[Psychoticdisorder],[DIAZEPAM] [OLANZAPINE],12,46.1538,[DIAZEPAM],19,4.31818,[OLANZAPINE],17,5.82192
[Psychoticdisorder],[LORAZEPAM] [DIAZEPAM],10,47.619,[DIAZEPAM],19,4.31818,[LORAZEPAM],14,2.7833
[Whitebloodcellcountdecreased],[RIBAVIRIN] [MUCOSTA],12,50,[RIBAVIRIN],102,10.5809,[MUCOSTA],13,12.8713
[Drugabuse],[FLUOXETINE] [DIAZEPAM],10,66.6667,[DIAZEPAM],67,15.2273,[FLUOXETINE],23,6.74487
[Vomiting],[XELODA] [DEXAMETHASONE],11,84.6154,[DEXAMETHASONE],37,2.31975,[XELODA],30,8.47458
[Pancreaticcarcinoma],[JANUVIA] [VICTOZA],12,80,[JANUVIA],35,6.65399,[VICTOZA],40,19.5122
[Plateletcountdecreased] [Pyrexia],[PEGINTRON] [MUCOSTA],10,47.619,[PEGINTRON],34,12.4088,[MUCOSTA],11,10.8911
[Death],[AZTREONAMLYSINE] [TOBI],12,80,[AZTREONAMLYSINE],85,46.9613,[TOBI],35,33.9806
[Kaposissarcoma],[METHYLPREDNISOLONE] [CICLOSPORIN],21,46.6667,[METHYLPREDNISOLONE],22,5.45906,[CICLOSPORIN],21,7.74908
[Maternalexposurebeforepregnancy],[ENDOXANBAXTER] [LEUPRORELIN],16,94.1176,[ENDOXANBAXTER],16,11.8519,[LEUPRORELIN],16,38.0952
[Acutekidneyinjury],[BISOPROLOL] [SPIRONOLACTONE],10,45.4545,[SPIRONOLACTONE],34,9.13979,[BISOPROLOL],45,7.1656
[Drugresistance],[LAMIVUDINE] [ENTECAVIR],27,96.4286,[ENTECAVIR],32,58.1818,[LAMIVUDINE],45,23.4375
[Intramedullaryrodinsertion] [Femurfracture],[FOSAMAX] [ALENDRONATESODIUM],13,46.4286,[ALENDRONATESODIUM],13,8.55263,[FOSAMAX],16,5.71429
[Death],[DOXORUBICIN] [CYCLOPHOSPHAMIDEFORINJECTIONUSP],47,85.4545,[CYCLOPHOSPHAMIDEFORINJECTIONUSP],47,41.2281,[DOXORUBICIN],55,15.5367
[Toxicitytovariousagents],[IBUPROFEN] [DIAZEPAM],14,73.6842,[DIAZEPAM],67,15.2273,[IBUPROFEN],37,4.71338
[Diseaseprogression],[AVASTIN] [LEUCOVORIN],77,93.9024,[AVASTIN],132,22.1106,[LEUCOVORIN],79,57.6642
[Transientischaemicattack] [Cerebrovascularaccident],[LIPITOR] [CRESTOR],10,37.037,[LIPITOR],13,0.967982,[CRESTOR],11,1.3597
[Whitebloodcellcountdecreased],[LOXONIN] [RIBAVIRIN],10,41.6667,[LOXONIN],13,8.96552,[RIBAVIRIN],102,10.5809
[Acutekidneyinjury],[DIGOXIN] [LANSOPRAZOLE],10,45.4545,[LANSOPRAZOLE],14,2.4055,[DIGOXIN],18,4.52261
[Offlabeluse],[SOFOSBUVIR] [SIMEPREVIR],26,54.1667,[SOFOSBUVIR],56,23.7288,[SIMEPREVIR],38,17.2727
[Femurfracture],[FOSAMAX] [BONIVA],10,76.9231,[FOSAMAX],117,41.7857,[BONIVA],23,50
[Cysticfibrosis],[TOBIPODHALER] [TOBI],17,62.963,[TOBIPODHALER],33,33.6735,[TOBI],24,23.301
[Pyrexia],[RIBAVIRIN] [MUCOSTA],11,45.8333,[RIBAVIRIN],82,8.50622,[MUCOSTA],13,12.8713
[Druginteraction],[RITONAVIR] [DOCETAXEL],10,100,[DOCETAXEL],12,2.35294,[RITONAVIR],17,13.1783
[Myocardialinfarction],[PLAVIX] [ECOTRIN],14,56,[ECOTRIN],24,26.3736,[PLAVIX],313,19.0158
[Dyspnoea],[VENTOLINHFA] [SPIRIVA],10,41.6667,[VENTOLINHFA],37,12.892,[SPIRIVA],95,13.6494
[Hyperprolactinaemia] [Gynaecomastia] [Abnormalweightgain],[INVEGA] [RISPERDAL],319,94.9405,[RISPERDAL],319,52.9022,[INVEGA],319,72.009
